id,name,level,school,range,duration,area,saving_throw,description,source_page,notes
armor,Armor,1,abjuration,touch,special,1_creature,none,Provides AC 6 to non-armored target,M-55,
burning_hands,Burning Hands,1,evocation,0,instant,fan,half,Cone of flame 1d3+level damage,M-55,
charm_person,Charm Person,1,enchantment,120_yards,special,1_person,neg,Target views caster as friend,M-55,
chill_touch,Chill Touch,1,necromancy,touch,3_rounds_per_level,1_creature,neg,1d4 damage and STR loss,M-55,
color_spray,Color Spray,1,illusion,5_yards,instant,cone,none,Stuns 1d6 creatures,M-55,
enlarge,Enlarge,1,alteration,5_yards_per_level,5_rounds_per_level,1_creature,neg,Up to 50% size and STR increase,M-55,
gaze_reflection,Gaze Reflection,1,alteration,0,1_round_per_level,self,none,Reflects gaze attacks,M-55,
grease,Grease,1,conjuration,10_yards,3_rounds+1_per_level,10ft_square,none,Slippery surface,M-55,
magic_missile,Magic Missile,1,evocation,60_yards+10_per_level,instant,1+_target,none,1d4+1 per missile auto-hit,M-55,
shield,Shield,1,evocation,0,5_rounds_per_level,self,none,AC 4 vs hurled and AC 2 vs missiles,M-55,
shocking_grasp,Shocking Grasp,1,evocation,touch,1_round_per_level,1_creature,none,1d8+level damage,M-55,
wall_of_fog,Wall of Fog,1,alteration,30_yards,2d4_rounds+1_per_level,wall,none,Obscures vision,M-55,
blur,Blur,2,illusion,0,3_rounds+1_per_level,self,none,Attackers -4 first attack -2 thereafter,M-56,
detect_invisibility,Detect Invisibility,2,divination,10_yards_per_level,5_rounds_per_level,line_of_sight,none,Reveals invisible,M-56,
flaming_sphere,Flaming Sphere,2,evocation,10_yards,1_round_per_level,3ft_sphere,half,2d4 damage if it hits,M-56,
fog_cloud,Fog Cloud,2,alteration,10_yards+10_per_level,2d6_rounds+1_per_level,cloud,none,Obscures movement and vision,M-56,
glitterdust,Glitterdust,2,conjuration,10_yards,1d4+1_rounds,20ft_cube,neg,Blinds and outlines invisible,M-56,
invisibility,Invisibility,2,illusion,touch,special,1_creature,none,Target invisible until attack,M-56,
melfs_acid_arrow,Melf's Acid Arrow,2,conjuration,180_yards,special,1_target,none,2d4 damage now and later rounds,M-56,
