id,name,level,sphere,range,duration,area,saving_throw,description,source_page,notes
bless,Bless,1,all,60_yards,6_rounds,50ft_cube,none,+1 to attack and morale for allies,M-67,
cause_fear,Cause Fear,1,necromantic,0,1_round_per_level,1_creature,neg,Target flees,M-67,
cause_light_wounds,Cause Light Wounds,1,necromantic,touch,permanent,1_creature,none,1d8 damage,M-67,
cure_light_wounds,Cure Light Wounds,1,necromantic,touch,permanent,1_creature,none,Heals 1d8 HP,M-67,
curse,Curse,1,charm,touch,1_round_per_level,1_creature,neg,-1 to attack and saves,M-67,
entangle,Entangle,1,plant,80_yards,1_turn,40ft_cube,half_or_neg,Plants grapple,M-67,
invisibility_to_undead,Invisibility to Undead,1,necromantic,touch,6_rounds,target,neg_special,Undead can't sense target,M-67,
magical_stone,Magical Stone,1,combat,touch,30_minutes,3_pebbles,none,Pebbles do 1d4 damage,M-67,
protection_from_evil,Protection From Evil,1,protection,touch,3_rounds_per_level,1_creature,none,+2 AC vs evil,M-67,
remove_fear,Remove Fear,1,charm,10_yards,1_turn,1_creature_per_4_levels,neg_special,Removes fear,M-67,
shillelagh,Shillelagh,1,combat;plant,touch,4_rounds+1_per_level,oak_club,none,Cudgel becomes magical +1,M-67,
aid,Aid,2,necromantic,touch,1_round_per_level,1_creature,none,+1 to hit and 1d8 temp HP,M-68,
barkskin,Barkskin,2,plant,touch,4_rounds+1_per_level,1_creature,none,+1 AC and saves vs nonmagic,M-68,
charm_person_or_mammal,Charm Person or Mammal,2,animal;charm,80_yards,special,1_creature,neg,Target charmed,M-68,
dust_devil,Dust Devil,2,elemental_air,30_yards,2_rounds_per_level,small_whirlwind,none,Air elemental ally,M-68,
find_traps,Find Traps,2,divination,30_yards,3_rounds_per_level,10x40ft_path,none,Reveals traps,M-68,
flame_blade,Flame Blade,2,elemental_fire,0,4_rounds+1_per_level,3ft_blade,none,1d4+4 fire damage,M-68,
hold_person_cleric,Hold Person,2,charm,60_yards,2_rounds_per_level,1-3_persons,neg,Paralyzes humans/demihumans,M-68,
resist_cold,Resist Cold,2,protection,touch,1_turn_per_level,1_creature,none,Cold resistance,M-68,
resist_fire,Resist Fire,2,protection,touch,1_turn_per_level,1_creature,none,Fire resistance,M-68,
spiritual_hammer,Spiritual Hammer,2,combat,30_yards,1_round_per_level,hammer,none,Magical hammer attacks,M-68,
bestow_curse,Bestow Curse,3,charm;necromantic,touch,1_turn_per_level,1_creature,neg,-2 to attacks or saves,M-69,
cause_blindness_or_deafness,Cause Blindness or Deafness,3,necromantic,30_yards,permanent,1_creature,neg,Blinds or deafens,M-69,
cause_disease,Cause Disease,3,necromantic,touch,permanent,1_creature,neg,Disease,M-69,
conjure_lesser_elemental,Conjure Lesser Elemental,3,elemental_all_or_one,30_yards,1_turn_per_level,4HD_elemental,none,Summons lesser elemental,M-69,
cure_blindness_or_deafness,Cure Blindness or Deafness,3,necromantic,touch,permanent,1_creature,none,Cures blindness/deafness,M-69,
cure_disease,Cure Disease,3,necromantic,touch,permanent,1_creature,none,Cures disease,M-69,
dispel_magic_cleric,Dispel Magic,3,protection,80_yards,instant,30ft_cube,none,Removes magic,M-69,
magical_vestment,Magical Vestment,3,protection,0,5_rounds_per_level,self,none,Acts as +3 armor,M-69,
negative_plane_protection,Negative Plane Protection,3,necromantic;protection,touch,1_round_per_level,1_creature,save,Protects from energy drain,M-69,
prayer,Prayer,3,combat,60_yards,1_round_per_level,60ft_radius,none,Allies +1 enemies -1,M-69,
protection_from_fire,Protection from Fire,3,elemental_fire;protection,touch,special,1_creature,none,Resists or absorbs fire,M-69,
remove_curse,Remove Curse,3,charm,touch,permanent,1_creature_or_object,none,Removes curse,M-69,
remove_paralysis,Remove Paralysis,3,protection,10_yards_per_level,permanent,1-4_creatures,none,Cures paralysis,M-69,
summon_insects,Summon Insects,3,animal,30_yards,1_round_per_level,swarm,none,Insect swarm,M-69,
abjure,Abjure,4,protection;summoning,10_yards,instant,1_extraplanar,save,Returns extraplanar home,M-70,
blood_flow,Blood Flow,4,necromantic,30_yards,1_round_per_level,1_creature,save,Causes bleeding,M-70,
cause_serious_wounds,Cause Serious Wounds,4,necromantic,touch,permanent,1_creature,none,2d8+1 damage,M-70,
cloak_of_bravery,Cloak of Bravery,4,protection,touch,until_used,1-4_creatures,none,+4 vs fear,M-70,
cloak_of_fear,Cloak of Fear,4,charm,0,1_round_per_level,self,save,Aura of fear,M-70,
condense,Condense,4,elemental_water,5_yards_per_level,instant,15ft_cube,none,Condenses water from air,M-70,
cure_serious_wounds,Cure Serious Wounds,4,necromantic,touch,permanent,1_creature,none,Heals 2d8+1 HP,M-70,
dehydrate,Dehydrate,4,elemental_water;necromantic,30_yards,permanent,1_creature,save,Drains body water,M-70,
dust_cloud,Dust Cloud,4,elemental_air;elemental_earth,30_yards,1_turn_per_level,30ft_radius,none,Obscures vision,M-70,
focus_heat,Focus Heat,4,elemental_fire,5_yards_per_level,1_round_per_level,1_target,save,Concentrated heat damage,M-70,
free_action,Free Action,4,protection,touch,1_turn_per_level,1_creature,none,Move freely through impediments,M-70,
neutralize_poison,Neutralize Poison,4,necromantic,touch,permanent,1_creature,none,Cures poison,M-70,
poison,Poison,4,necromantic,touch,instant,1_creature,save,Poisons target,M-70,
produce_fire,Produce Fire,4,elemental_fire,40_yards,1_round,12ft_square,half,1d4 damage,M-70,
protection_from_evil_10ft,Protection from Evil 10ft Radius,4,protection,touch,1_round_per_level,10ft_radius,none,Group protection from evil,M-70,
protection_from_lightning,Protection from Lightning,4,elemental_air;protection,touch,special,1_creature,none,Resists or absorbs lightning,M-70,
