id,name,type,phase,parent_region,description,connects_to,key_npcs,key_items,first_visit_flag,cleared_flag,source_page,notes
arena,Arena,city_underground,1,draj,Draj's gladiatorial arena. Red brick walls sand floor surrounded by crowds.,slave_pens,announcer;semyon;venyz,water_pot,arena_first_visit,arena_escaped,C-15,5 visits for Scar 3 for Merzol
slave_pens,Slave Pens,city_underground,1,draj,Maze of brown brick rooms. Big fountain south. Gladiator pens east monster pens west.,arena;sewers,scar;merzol;trustee;dinos;mirlon;gilal;templar_pehtucl;kurzak;bonecrusher,bloodwrath_sword;chameleon_gloves;steel_axe;arrows_3;water_pot,pens_entered,pens_escaped,C-17,
sewers,Sewers,city_underground,1,draj,Maze of tunnels beneath Draj inhabited by Tari rat-people.,slave_pens;dagolar_tunnels;fields,churrr;high_warren_chief;skull_guardians;elders;mikquetzl;chiefs_daughter,staff_of_parting;helm_of_contemplation;chameleon_gloves;steel_axe_1,sewers_entered,sewers_cleared,C-23,
dagolar_tunnels,Dagolar's Tunnels,city_underground,1,draj,Hidden tunnels where Dagolar 20th-level psionicist conducts experiments.,sewers,dagolar;keldar;goburnix,,dagolar_tunnels_entered,dagolar_killed,C-29,
fields,Fields,wasteland,2,tablelands,Sandy wastes between Draj and the free villages. Drajian patrols.,sewers;white_sands;teaquetzl_village,old_one_eye,,fields_entered,,C-33,
white_sands,White Sands,wasteland,2,tablelands,Sandy waste between Fields and Teaquetzl. Final battles vs Drajian army.,fields;teaquetzl_village,egrus;kraxis,,white_sands_entered,kraxis_defeated,C-35,Three final battles
teaquetzl_village,Teaquetzl Village,village,2,tablelands,Free village in middle of sandy wastes. Founded by escaped slaves.,white_sands;nazca_lines;palace_ruins,chahl;katura;visionary;father_garyn,obelisk;meteorite_metal,teaquetzl_visited,,C-39,Alliance hub
nazca_lines,Nazca Lines,wasteland,2,tablelands,Sandy wasteland.,teaquetzl_village;cedrilte_village,toonuu,salt,nazca_visited,,C-45,Toonuu sells salt
cedrilte_village,Cedrilte Village,village,2,tablelands,Free village. Strangers mistrusted. Won't ally until threats resolved.,nazca_lines;undermountain;hot_springs,krikor;chaya,,cedrilte_visited,cedrilte_allied,C-47,
undermountain,Undermountain,subterranean,2,tablelands,Subterranean region home of Undermountain Folk Mindhome.,cedrilte_village;gedron_village;teaquetzl_village;wagon_train;lower_castle,mindhome_council,,undermountain_visited,,C-51,
lower_castle,Lower Castle,castle,2,tablelands,Wyvern riders operate from here raiding the Elven Caravan.,undermountain;upper_castle,,,lower_castle_visited,,C-57,
upper_castle,Upper Castle,castle,2,tablelands,Upper levels of the castle.,lower_castle,,,upper_castle_visited,,C-61,
salt_oasis,Salt Oasis,wasteland,2,tablelands,Salt flats with springs. Templar mining for copper with slave labor.,hot_springs,kasha;uzoma;copper_templar,wand_of_metal_detection,salt_oasis_visited,salt_oasis_freed,C-65,
hot_springs,Hot Springs,wasteland,2,tablelands,Salt flat springs being mined for copper by a Drajian templar.,cedrilte_village;salt_oasis,,,,,C-67,
gedron_village,Gedron Village,village,2,tablelands,Taken over by evil defiler Wyrmias who controls villagers' minds.,undermountain;silt_sea_ssurrans,wyrmias;linara;gedron_mayor;melkor,statue_head;statue_rattle;els_drinker;jasmines_spellbook,gedron_visited,wyrmias_resolved,C-69,
silt_sea_ssurrans,Silt Sea Ssurrans,wasteland,2,silt_sea,Isthmus into Silt Sea. Ssurran slave traders hold one statue piece.,gedron_village;silt_sea_summoning,ssurran_merchants,statue_piece_a,silt_ssurrans_visited,,C-73,
silt_sea_summoning,Silt Sea Summoning,wasteland,2,silt_sea,Site of summoning ritual. Jasmine 9th-level preserver. Arant holds gladiators.,silt_sea_ssurrans;captured_gladiators,jasmine;arant,statue_piece_b;jasmines_spellbook,silt_summoning_visited,,C-75,
captured_gladiators,Captured Gladiators,wasteland,2,silt_sea,Gladiators from Gedron and Cedrilte captured by Arant.,silt_sea_summoning,arant,,gladiators_found,gladiators_freed,C-77,
palace_ruins,Palace Ruins (Korbnor),ruins,2,tablelands,Buried ancient city. Korbnor was beautiful before being buried in sandstorm. Cragg Genie psurlons.,teaquetzl_village,cragg;king_dwyer;genie;city_dwellers;psurlons,genie_bottle;quicksilver_glove,palace_ruins_visited,palace_ruins_cleared,C-79,Critical mid-late game location
lava_rift,Lava Rift,wasteland,2,tablelands,Rift to elemental plane of fire. Hermit defiler summons elementals.,red_sands_plateau;gemfields,hermit_defiler;rift_ranger,,lava_rift_visited,,C-83,
gemfields,Gemfields,wasteland,2,tablelands,Lava flows. Geysers. Lava domes contain gems. Thri-kreen hunters.,lava_rift;wagon_train,,meteor_metal;gems,gemfields_visited,,C-85,
wagon_train,Wagon Train,wasteland,2,tablelands,Small plateaus and sinkholes. Magera attacked wagon train. Bridge over chasm.,gemfields;subterranean_temple;undermountain,kalinin,hornblade;rope,wagon_train_visited,kalinin_rescued,C-87,
red_sands_plateau,Red Sands Plateau,wasteland,2,tablelands,Large central mesa. Common wandering monsters.,lava_rift;sand_oasis;elven_caravan,notaku;sage_hermit;demothi;rift_ranger,derths_wand;els_shield;wand_of_metal_detection;obelisk_gem,red_sands_visited,,C-89,
sand_oasis,Sand Oasis,wasteland,2,tablelands,Sand druid watches over oasis. Ensures it is not defiled.,red_sands_plateau,sand_druid,butterfly_wings,sand_oasis_visited,,C-93,
elven_slavers,Elven Slavers,wasteland,2,tablelands,Templar and slavers operate here. Templar has whistle to summon troops.,messenger_route,slaver_templar,whistle,elven_slavers_encountered,,C-95,
