id,name,location_id,role,faction,disposition,layer,description,gives_item,gives_quest,killed_flag,recruited_flag,source_page,notes
announcer,Announcer,arena,host,drajian,hostile,O,Controls fights heckles gladiators,,,,,C-15,
semyon,Semyon,arena,prisoner,veiled_alliance,allied,O,Former gladiator staked in arena. Joins Veiled Alliance after rescue. Joins party for one Arena fight.,,rescue_semyon,,semyon_recruited,C-15,Needs water from pens
venyz,Venyz,arena,prisoner,none,neutral,O,Second staked slave beyond help.,,,,,,C-15,
scar,Scar,slave_pens,gladiator_leader,free_slaves,allied,O,King of the Pens. Captured to please Tectuktitlay. Cautious escape plan via Arena west exit after 5 visits.,,scar_escape,scar_killed,scar_allied,C-17,
merzol,Merzol,slave_pens,gladiator_leader,free_slaves,allied,O,Would-be King of the Pens. Less organized. Escape after 3 Arena visits. Riskier.,,merzol_escape,merzol_killed,merzol_allied,C-17,
trustee,Trustee,slave_pens,gladiator,free_slaves,neutral,O,Old gladiator. Former wilderness guide. Lets party see Dinos.,,,trustee_killed,,C-17,Pickpocket key to Dinos room
dinos,Dinos,slave_pens,cook,free_slaves,allied,O,Slave cook. Imprisoned for accidentally feeding bad food to a templar. Heals Gilal.,,heal_gilal,dinos_killed,,C-17,
mirlon,Mirlon,slave_pens,gladiator,drajian,treacherous,O,Vain gladiator bribed by Templar Pehtucl to betray escapees.,,,mirlon_killed,,C-17,Trap if trusted
gilal,Gilal,slave_pens,gladiator,free_slaves,allied,O,Memory-damaged gladiator. Knows escape info. Healable by Dinos.,,gilal_memory,gilal_killed,,C-17,
templar_pehtucl,Templar Pehtucl,slave_pens,templar,drajian,hostile,O,In charge of Slave Pens. Corrupt. Carries Bloodwrath sword +1.,bloodwrath_sword,,pehtucl_killed,,C-17,Fake escape ambush
kurzak,Kurzak,slave_pens,guard,drajian,hostile,O,Main guard. Takes bribes gives nothing. Lets Mirlon through.,,,kurzak_killed,,C-17,
bonecrusher,Bonecrusher,slave_pens,monster_trainer,drajian,hostile,O,Half-giant monster trainer. Retrieves laggard slaves.,,,bonecrusher_killed,,C-17,
churrr,Churrr,sewers,thug_leader,low_warrens,hostile,O,Beady-eyed controller of low warrens. Kidnapped chief's daughter for Mikquetzl.,,,churrr_killed,,C-23,Trades leather armor
high_warren_chief,High Warren Chief,sewers,leader,high_warrens,allied,O,Tari leader. Has Helm of Contemplation. Devastated by kidnapped daughter.,helm_of_contemplation,rescue_chiefs_daughter,,,C-23,
chiefs_daughter,High Warren Chief's Daughter,sewers,prisoner,high_warrens,allied,O,Kidnapped plucky. Rushes into battle even when weakened.,,,daughter_killed,daughter_rescued,C-23,
skull_guardians,Skull Guardians,sewers,guardians,tari,neutral,O,Tari transformed by Dagolar. Protect the Elders. Can give bone crank.,bone_crank,,,,,C-23,
elders,Elders,sewers,council,tari,neutral,O,Animated skulls of past tari leaders. Haughty. Grant Staff of Parting.,staff_of_parting,,,,,C-23,
mikquetzl,Mikquetzl,sewers,disgraced_templar,drajian,hostile,O,Disgraced templar. Insane. Rules tari worshippers. Has Chameleon Gloves.,chameleon_gloves,,mikquetzl_killed,,C-23,
dagolar,Dagolar,dagolar_tunnels,psionicist,evil,hostile,O,20th-level human psionicist. Conducts experiments. Creator of Dagolar slimes.,,,dagolar_killed,,C-29,Disguises as Jake or Mow
keldar,Keldar,dagolar_tunnels,servant,evil,hostile,O,Dagolar's warped servant. Keeps book of victims. Teleports unless killed in one shot.,book_of_names,,keldar_killed,,C-29,
goburnix,Goburnix,dagolar_tunnels,zombie,neutral,allied,O,Dagolar's brother turned zombie. Follows party if freed. Can expose Jake or Mow.,,,goburnix_killed,goburnix_freed,C-29,
old_one_eye,Old One-eye,fields,wanderer,none,neutral,O,NPC in fields region.,,,,,C-33,
egrus,Egrus,white_sands,wanderer,none,neutral,O,Stays near camp unless party reads scroll on nearby body.,,,,,C-35,
chahl,Chahl,teaquetzl_village,village_leader,free_villages,allied,O,Leader of Teaquetzl. Adopted daughter Katura.,,seek_alliance,,,C-39,
katura,Katura,teaquetzl_village,civilian,free_villages,allied,O,Chahl's adopted daughter. Fascinated by magical items. Visits Elven Caravan.,,,,,C-39,Also at Elven Caravan
visionary,The Visionary,teaquetzl_village,prophet,free_villages,allied,O,Halfling found half-dead in desert. Prophecy of slave villages' destruction drives alliance.,,,,,C-39,
father_garyn,Father Garyn,teaquetzl_village,cleric,free_villages,allied,O,Cleric of water. Tends villagers' spiritual needs. Injured escaping slavery.,,deliver_pith,,,C-39,
village_council,Village Council,teaquetzl_village,council,free_villages,allied,O,Provides news on Drajian army. Asks party to gather allies.,,,,,C-39,
toonuu,Toonuu,nazca_lines,merchant,neutral,neutral,O,Sells salt. Salt needed for mastyrial Alita from Demothi.,salt,,,,,C-45,
krikor,Krikor,cedrilte_village,villager,free_villages,allied,O,Cedrilte villager.,,,,,C-47,
chaya,Chaya,cedrilte_village,villager,free_villages,allied,O,Speak first before being led to key location.,,,,,C-47,
kasha,Kasha,salt_oasis,escaped_slave,free_slaves,allied,O,Escaped slave. Gives warning.,,,,,C-65,
uzoma,Uzoma,salt_oasis,patrol_leader,drajian,hostile,O,Drajian guard patrol leader. Mistakes party for guards.,,,uzoma_killed,,C-65,
wyrmias,Wyrmias,gedron_village,defiler,evil,hostile,O,Defiler controlling Gedron. Man of his word — duels if given both statue pieces.,els_drinker;psionic_bracelet,,wyrmias_killed,wyrmias_resolved,C-69,Hidden safe under rug
linara,Linara,gedron_village,preserver,free_villages,allied,O,6th-level preserver unaffected by Wyrmias. Waiting to hear from her sister Jasmine.,,,linara_killed,,C-69,
gedron_mayor,Gedron Mayor,gedron_village,village_leader,free_villages,neutral,O,Wyrmias' puppet. Agrees to alliance after village freed.,,,,,C-69,
melkor,Melkor,gedron_village,merchant,neutral,neutral,O,Travelling merchant stuck in village.,,,,,C-69,
