id,name,category,subcategory,location_id,owner_npc_id,material,damage,bonus,special,description,source_page,notes
bloodwrath_sword,Bloodwrath,weapon,sword,slave_pens,templar_pehtucl,steel,,+1,,Templar Pehtucl's sword found on his body.,C-17,
chameleon_gloves,Chameleon Gloves,armor,gloves,sewers,mikquetzl,leather,,,,Found on Mikquetzl. Camouflage effect.,C-23,
helm_of_contemplation,Helm of Contemplation,armor,helm,sewers,high_warren_chief,,,,,Reward from High Warren Chief for rescuing daughter.,C-23,
staff_of_parting,Staff of Parting,weapon,staff,sewers,elders,,,,Drains pond,Drains collection pond to reveal Dagolar's Tunnels entrance.,C-23,
bone_crank,Bone Crank,quest_item,tool,sewers,skull_guardians,bone,,,,Used for broken wheels in sewers.,C-23,
steel_axe,Steel Axe,weapon,axe,slave_pens,,steel,,,,In armory location 17.,C-17,
steel_axe_1,Steel Axe +1,weapon,axe,sewers,,steel,,+1,,In sewer hole.,C-23,
arrows_1,Arrows +1,weapon,ammo,elven_caravan,kel,,,+1,,Sold by Kel.,C-99,
arrows_3,Arrows +3,weapon,ammo,slave_pens,,,,+3,,In secret room location 4.,C-17,
water_pot,Water Pot,quest_item,container,slave_pens,,clay,,,Holds water,Fill at Dinos sink. Used to revive Semyon.,C-17,
scale_armor,Scale Armor,armor,body,slave_pens,,,,,,In secret room location 4.,C-17,
gem_secret_room,Gem,treasure,gem,slave_pens,,,,,,In secret room location 4.,C-17,
scroll_of_enlarge,Scroll of Enlarge,scroll,preserver,sewers,,,,,1st level preserver,,C-23,
scroll_of_color_spray,Scroll of Color Spray,scroll,preserver,sewers,,,,,1st level preserver,,C-23,
els_drinker,El's Drinker,weapon,sword,gedron_village,wyrmias,steel,,,Drains life,Hidden safe under Wyrmias' rug. Recommended for Genie duplication.,C-69,
psionic_bracelet,Psionic Bracelet of Life Draining,jewelry,bracelet,gedron_village,wyrmias,,,,Life drain,Hidden safe under Wyrmias' rug.,C-69,
obelisk_gem,Obelisk Gem,quest_item,gem,multiple,,,,,Activates obelisk,Multiple sources: hidden safe Kel sage hermit. Place in obelisk to teleport.,C-69,
jasmines_spellbook,Jasmine's Spellbook,book,spellbook,silt_sea_summoning,jasmine,,,,Wyrmias info,Contains information about Wyrmias' room. Findable here or in Gedron.,C-75,
statue_piece_a,Statue Piece (Head/Rattle),quest_item,statue,silt_sea_ssurrans,ssurran_merchants,,,,,One of two pieces Wyrmias needs.,C-73,
statue_piece_b,Statue Piece (Head/Rattle),quest_item,statue,silt_sea_summoning,arant,,,,,Second of two pieces Wyrmias needs.,C-75,
genie_bottle,Genie Bottle,quest_item,bottle,palace_ruins,cragg,,,,Calls Genie,Critical mid-late game item.,C-79,
quicksilver_glove,Quicksilver Glove,armor,gloves,palace_ruins,genie,quicksilver,,,Granted by Genie wish for help vs Draj.,C-79,
hornblade,Hornblade,weapon,sword,wagon_train,kalinin,bone,,,,Given by Kalinin if rescued.,C-87,
rope,Rope,quest_item,tool,wagon_train,,fibrous_plant,,,Bridge descent,Make from fibrous plants in Wagon Train. Climb down to Subterranean Temple.,C-87,
derths_wand,Derth's Wand,weapon,wand,red_sands_plateau,notaku,,,,,Reward from Notaku for terror bloom.,C-89,
els_shield,El's Shield,armor,shield,red_sands_plateau,notaku,,,,,Reward from Notaku for mastyrial stinger.,C-89,
wand_of_metal_detection,Wand of Metal Detection,weapon,wand,red_sands_plateau,sage_hermit,,,,Detects metal,Convinces copper templar at Salt Oasis to leave.,C-89,
butterfly_wings,Butterfly Wings,quest_item,reagent,sand_oasis,sand_druid,,,,,Given by sand druid.,C-93,
salt,Bag of Salt,quest_item,reagent,nazca_lines,toonuu,,,,,Needed to buy mastyrial Alita from Demothi.,C-45,
mastyrial_alita,Mastyrial Alita,creature,mount,red_sands_plateau,demothi,,,,Pack animal,Trained mastyrial sold by Demothi for bag of salt.,C-89,
soulcrusher,Soulcrusher,weapon,unknown,elven_caravan,kel,,,,,Sold by Kel — magic.,C-99,
talisman_of_venom,Talisman of Venom,jewelry,talisman,elven_caravan,kel,,,,Prevents weak poison,Prevents Tobrian's wine poison. Must be worn when first visiting Tobrian.,C-99,
whistle,Whistle,quest_item,tool,elven_slavers,slaver_templar,,,,Summons troops,Templar's whistle.,C-95,
book_of_names,Book of Names,book,journal,dagolar_tunnels,keldar,,,,Lists Dagolar's victims,Keldar's record. Recognizable names from earlier chapters.,C-29,
mikquetzls_notes,Mikquetzl's Notes,book,journal,sewers,mikquetzl,,,,,In chest at location 20.,C-23,
steel_sword_chest,Steel Sword,weapon,sword,sewers,,steel,,,,In chest at location 20.,C-23,
gem_chest,Gem,treasure,gem,sewers,,,,,,In chest at location 20.,C-23,
meteorite_metal,Meteorite Metal,quest_item,metal,teaquetzl_village,,meteorite,,,,Made into metal axe +1 at Teaquetzl. Plug Gemfields geysers with rocks to obtain.,C-39,
meteorite_axe_1,Meteorite Axe +1,weapon,axe,teaquetzl_village,,meteorite,,+1,,Crafted from meteorite metal.,C-39,
chatkcha,Chatkcha,weapon,thrown,slave_pens,tarim,crystal,3-9,,Returns to user,Thri-kreen weapon. Crystalline. Returns on miss. 90 yards range.,M-20,
psionic_key,Psionic Key,quest_item,resonance,shattered_spire,,,,,Opens Spire deepest level,New: accumulated psionic resonance from Arena/Dagolar/Genie experiences.,NEW,Chapter 6
